citing_publisher,cited_name,cited_name
CCC,Theresa M. Lillis,3
CCC,Thomas Deans,3
CCC,Todd Ruecker,3
CCC,Vershawn Ashanti Young,3
CCC,Wendy Bishop,3
CCC,Wendy Hayden,3
CCC,William DeGenaro,3
CCC,bell hooks,3
CCC,Adrienne Rich,2
CCC,Alexander Weheliye,2
CCC,Alexandria Peary,2
CCC,Alexis E. Ramsey,2
CCC,Alice S. Horning,2
CCC,Alison Kafer,2
CCC,Allie Grasgreen,2
CCC,Allison Harl,2
CCC,Amy C. Kimme Hea. Kimme Hea,2
CCC,Amy E. Robillard,2
CCC,Amy Tan,2
CCC,Amy Vidali,2
CCC,Angela M. Haas,2
CCC,Ann George,2
CCC,Ann M. Penrose,2
CCC,Anne Freadman,2
CCC,Anthony Paré,2
CCC,Aristotle ,2
CCC,Arjun Appadurai,2
CCC,Arthur N. Applebee,2
CCC,Barbara Biesecker,2
CCC,Barbara Couture,2
CCC,Barbara E. L’Eplattenier,2
CCC,Barbara E. Walvoord,2
CCC,Barbara Sherr Roswell,2
CCC,Beth Daniell,2
CCC,Beth L. Hewett,2
CCC,Bill Cope,2
CCC,Bill Readings,2
CCC,Bonnie Lenore Kyburz,2
CCC,Brian J. McNely,2
CCC,Brian Massumi,2
CCC,Bridget Ng’andu,2
CCC,Bronwyn Davies,2
CCC,Bruce Herzberg,2
CCC,Bruno Latour,2
CCC,Bump Halbritter,2
CCC,Carl Bereiter,2
CCC,Carmen Kynard,2
CCC,Carolyn Calhoon-Dillahunt,2
CCC,Carolyn Calloway-Thomas,2
CCC,Catherine Chaput,2
CCC,Catherine Kell,2
CCC,Cathy Birkenstein,2
CCC,Cathy Davidson,2
CCC,Charles E. Morris,2
CCC,Cheryl E. Ball,2
CCC,Christiane Donahue,2
CCC,Christine A. Hult,2
CCC,Claire Lauer,2
CCC,Clive Thompson,2
CCC,Colleen Flaherty,2
CCC,"Council of Writing Program Administrators, National Council of Teachers of English, and National Writing Project. ",2
CCC,D. Gordon Rohman,2
CCC,Dale Jacobs,2
CCC,Damián Baca,2
CCC,Dana R. Ferris,2
CCC,David A. Kolb,2
CCC,David Graeber,2
CCC,David Harvey,2
CCC,David Laurence,2
CCC,David Reamer,2
CCC,Davida Charney,2
CCC,Deborah Balzhiser,2
CCC,Django Paris,2
CCC,Donald A. Schön,2
CCC,Donna Kain,2
CCC,Dorothy Holland,2
CCC,Edgar H. Schein,2
CCC,Eileen E. Schell,2
CCC,Elaine Richardson,2
CCC,Elizabeth Overman Smith,2
CCC,Ellen L. Barton,2
CCC,Eric Darnell Pritchard,2
CCC,Erika Lindemann,2
CCC,Ernest L. Boyer,2
CCC,Ernst Benjamin,2
CCC,Eugene Garver,2
CCC,Frank Pajares,2
CCC,Félix Guattari,2
CCC,Gail E. Hawisher,2
CCC,Gail Shuck,2
CCC,Gail Stygall,2
CCC,Gary Rhoades,2
CCC,Gary Tate,2
CCC,George L. Pullman,2
CCC,George Lakoff,2
CCC,Gerard A. Hauser,2
CCC,Gesa E. Kirsch,2
CCC,Gloria Anzaldúa,2
CCC,Grace Wetzel,2
CCC,Graham Smart,2
CCC,Greg Myers,2
CCC,Gregory L. Ulmer,2
CCC,Gretchen Flesher Moon,2
CCC,Gunther Kress,2
CCC,Harvey J. Graff,2
CCC,Helen Fox,2
CCC,Howard Tinberg,2
CCC,Hunter M. Breland,2
CCC,Irving Kenneth Zola,2
CCC,J. Blake Scott,2
CCC,J.N. Hook,2
CCC,Jack Selzer,2
CCC,James F. Slevin,2
CCC,James Surowiecki,2
CCC,James Zebroski,2
CCC,Jane Donawerth,2
CCC,Jane Greer,2
CCC,Janet Giltrow,2
CCC,Janine Solberg,2
CCC,Janna Fox,2
CCC,Jason Swarts,2
CCC,Jay David Bolter,2
CCC,Jay Dolmage,2
CCC,Jean Ferguson Carr,2
CCC,Jeffrey Jablonski,2
CCC,Jeffrey Klausman,2
CCC,Jeffrey T. Grabill,2
CCC,Jennifer Bay,2
CCC,Jennifer ClaryLemon,2
CCC,Jenny Edbauer Rice,2
CCC,JoAnne Yates,2
CCC,Joanna Wolfe,2
CCC,Joanne Baird Giordano,2
CCC,John Ackerman,2
CCC,John Dixon,2
CCC,John Hendrickson,2
CCC,John M. Ackerman,2
CCC,John M. Murphy,2
CCC,John R. Hayes,2
CCC,John Rawls,2
CCC,John Saltmarsh,2
CCC,John Schilb,2
CCC,Joseph Kahne,2
CCC,Joseph M. Williams,2
CCC,Joyce Magnotto Neff,2
CCC,Juan C. Guerra,2
CCC,Judith Scott-Clayton,2
CCC,Julie Lindquist,2
CCC,June Griffin,2
CCC,Kate Vieira,2
CCC,Katherine K. Gottschalk,2
CCC,Kathleen J. Ryan,2
CCC,Kathleen McCormick,2
CCC,Kathy Charmaz,2
CCC,Kelli Cargile Cook,2
CCC,Kelly Ritter,2
CCC,Ken Bain,2
CCC,Ken Macrorie,2
CCC,Kenneth A. Bruffee,2
CCC,Kimberly Emmons,2
CCC,King D. Beach,2
CCC,Kristin L. Arola,2
CCC,Kristine Johnson,2
CCC,Kwame Anthony Appiah,2
CCC,Lad Tobin,2
CCC,Laura Aull,2
CCC,Laurie Grobman,2
CCC,Lawrence J. Prelli,2
CCC,Leah Zuidema,2
CCC,Lee Ann Carroll,2
CCC,Lee Odell,2
CCC,Lennard Davis,2
CCC,Lev Manovich,2
CCC,Linda Harklau,2
CCC,Linda S. Bergmann,2
CCC,Lindal Buchanan,2
CCC,Lisa Gerrard,2
CCC,Liz Hamp-Lyons,2
CCC,Lucie Olbrechts-Tyteca,2
CCC,Lucille M. Schultz,2
CCC,Lynn Worsham,2
CCC,Lynée Lewis Gaillet,2
CCC,M. Amanda Moulder,2
CCC,M.Kevin Eagan,2
CCC,Mad School,2
CCC,Madeleine Sorapure,2
CCC,Margaret A. Syverson,2
CCC,Margaret K. Willard-Traub,2
CCC,Margaret Kovach,2
CCC,Marguerite Helmers,2
CCC,Marilyn J. Valentino,2
CCC,Martha Vicinus,2
CCC,Mary E. Hocks,2
CCC,Melanie Yergeau,2
CCC,Michael Bunn,2
CCC,Michael Day,2
CCC,Michael Holzman,2
CCC,Michael S. Roth,2
CCC,Michael Salvo,2
CCC,Michael T. Kane,2
CCC,Michelle Cox,2
CCC,Michelle Navarre Cleary,2
CCC,Morris Young,2
CCC,Mya Poe,2
CCC,Nancy Sommers,2
CCC,Nathaniel Rivers,2
CCC,Neal Lerner,2
CCC,Nicole Brown,2
CCC,Nina Baym,2
CCC,Nora Bacon,2
CCC,Owen Jones,2
CCC,Pamela VanHaitsma,2
CCC,Pat Belanoff,2
CCC,Patricia A. Sullivan,2
CCC,Patricia Donahue,2
CCC,Patricia Harkin,2
CCC,Paul Butler,2
CCC,Paul Lynch,2
CCC,Pegeen Reichert Powell,2
CCC,Phil Hodkinson,2
CCC,Qwo-Li Driskill,2
CCC,Ralph Cintron,2
CCC,Randy Stoecker,2
CCC,Rebecca J. Rickly,2
CCC,Rebecca Schuman,2
