citing_publisher,citing_year,citing_name,citing_name
College English,1/1/2013,Gwen Gorzelsky,42
College English,1/1/2013,Ellen Cushman,39
College English,1/1/2013,Dànielle Nicole DeVoss,37
College English,1/1/2013,T.J. Geiger II,37
College English,1/1/2013,Tarez Samra Graban,37
College English,1/1/2013,Jeff Rice,34
College English,1/1/2013,Jessica Reyman,33
College English,1/1/2013,Cristina Stanciu,29
College English,1/1/2013,Adam Koehler,27
College English,1/1/2013,Jeffrey M. Ringer,26
College English,1/1/2013,Kelly L. Dent,25
College English,1/1/2013,Tricia C. Serviss,25
College English,1/1/2013,Jenn Fishman,23
College English,1/1/2013,John Logie,20
College English,1/1/2013,Jim Ridolfo,19
College English,1/1/2013,Jason Peters,15
College English,1/1/2013,Joyce Olewski Inman,14
College English,1/1/2013,Sandra M. Gilbert,4
College English,1/1/2013,Susan Gubar,4
College English,1/1/2013,Amy Dayton,3
College English,1/1/2013,David Nielsen,3
College English,1/1/2014,Laura R. Micciche,59
College English,1/1/2014,Rebecca Lorimer Leonard,49
College English,1/1/2014,Linda Adler-Kassner,48
College English,1/1/2014,Tony Scott,47
College English,1/1/2014,Jeremiah Dyehouse,46
College English,1/1/2014,Matthew Heard,44
College English,1/1/2014,Deborah Bowen,42
College English,1/1/2014,William Duffy,42
College English,1/1/2014,Catherine Olive-Marie Fox,37
College English,1/1/2014,Alicia Brazeau,36
College English,1/1/2014,Steph Ceraso,36
College English,1/1/2014,Annie S. Mendenhall,34
College English,1/1/2014,Stephen J. Mexal,30
College English,1/1/2014,Jonathan Alexander,28
College English,1/1/2014,David Wallace,27
College English,1/1/2014,Amber Engelson,25
College English,1/1/2014,Jamie White-Farnham,24
College English,1/1/2014,Kathryn Nantz,23
College English,1/1/2014,Melissa Ianetta,23
College English,1/1/2014,Michael McCamley,20
College English,1/1/2014,Steve Parks,17
College English,1/1/2014,Deborah H. Holdstein,4
College English,1/1/2014,Morris Young,4
College English,1/1/2014,Susan C. Jarratt,3
College English,1/1/2014,Alan Benson,1
College English,1/1/2014,Nancy Welch,1
College English,1/1/2015,Sue Hum,70
College English,1/1/2015,Vanessa Kraemer Sohan,70
College English,1/1/2015,Risa Applegarth,58
College English,1/1/2015,Laurie Grobman,55
College English,1/1/2015,Dara Rossman Regaignon,53
College English,1/1/2015,Pamela VanHaitsma,51
College English,1/1/2015,Bruce Horner,50
College English,1/1/2015,Michael T. MacDonald,43
College English,1/1/2015,Mark Alan Williams,39
College English,1/1/2015,Paul Feigenbaum,39
College English,1/1/2015,Jay Jordan,38
College English,1/1/2015,Jane Greer,36
College English,1/1/2015,Rebecca Tarsa,34
College English,1/1/2015,Kate White,32
College English,1/1/2015,Karen Kopelson,30
College English,1/1/2015,Brenda Glascott,26
College English,1/1/2015,Joanne Baird Giordano,24
College English,1/1/2015,Georganne Nordstrom,22
College English,1/1/2015,Jenny Rice,22
College English,1/1/2015,Lori Ostergaard,16
College English,1/1/2015,Nathaniel A. Rivers,11
College English,1/1/2015,Vanessa Kraemer Nordstrom,7
College English,1/1/2015,Heather Brook Adams,6
College English,1/1/2015,Lauren Fitzgerald,6
College English,1/1/2015,Donald Lazere,4
College English,1/1/2015,Amy J. Wan,3
College English,1/1/2016,Gregory Coles,74
College English,1/1/2016,Charles N. Lesh,45
College English,1/1/2016,Steve Lamos,45
College English,1/1/2016,Katherine Fredlund,37
College English,1/1/2016,Dylan B. Dryer,33
College English,1/1/2016,Rebecca Nowacek,27
College English,1/1/2016,Matthew Sumpter,25
College English,1/1/2016,Suresh Canagarajah,25
College English,1/1/2016,Anis Bawarshi,22
College English,1/1/2016,Ellen Cushman,21
College English,1/1/2016,Jessica L. Bannon,21
College English,1/1/2016,Jody Shipka,17
College English,1/1/2016,Brian Ray,16
College English,1/1/2016,Christie Toth,16
College English,1/1/2016,John Trimbur,15
College English,1/1/2016,Keith Gilyard,9
College English,1/1/2016,Juan C. Guerra,8
College English,1/1/2016,Stephanie L. Kerschbaum,6
College English,1/1/2016,Shirley Wilson Logan,3
College English,1/1/2017,John Duffy,62
College English,1/1/2017,Beth Godbee,49
College English,1/1/2017,Christie Toth,49
College English,1/1/2017,Michael-John DePalma,49
College English,1/1/2017,James Rushing Daniel,45
College English,1/1/2017,Jane Detweiler,44
College English,1/1/2017,Michelle Zaleski,43
College English,1/1/2017,Wendy Hayden,43
College English,1/1/2017,Kristie S. Fleckenstein,41
College English,1/1/2017,Laurie Grobman,39
College English,1/1/2017,Sue Mendelsohn,35
College English,1/1/2017,Amy J. Lueck,34
College English,1/1/2017,Craig Collin,34
College English,1/1/2017,Aubrey Schiavone,30
College English,1/1/2017,Thomas P. Miller,29
College English,1/1/2017,Joddy Murray,27
College English,1/1/2017,Heather Thomson-Bunn,26
College English,1/1/2017,Victor Villanueva,24
College English,1/1/2017,Rachel C. Jackson,23
College English,1/1/2017,Benjamin Keating,20
College English,1/1/2017,Jonna I. Gilfus,18
College English,1/1/2017,Rachel Gramer,12
College English,1/1/2017,Sarah Z Johnson,12
College English,1/1/2017,Kirk Branch,6
College English,1/1/2017,Matthew Overstreet,5
College English,1/1/2018,Krista Kurlinkus,77
College English,1/1/2018,Abby M. Dubisar,55
College English,1/1/2018,Crystal Broch Colombini,54
College English,1/1/2018,Eileen Lagman,47
College English,1/1/2018,Michelle Smith,44
College English,1/1/2018,Chris S. Earle,41
College English,1/1/2018,Bethany Mannon,38
College English,1/1/2018,Elizabeth Ellis Miller,38
College English,1/1/2018,Kim Hensley Owens,38
College English,1/1/2018,Lois Agnew,36
College English,1/1/2018,Matthew A. Vetter,35
College English,1/1/2018,Suzanne Bordelon,34
College English,1/1/2018,Cynthia Lewis,33
College English,1/1/2018,Kathryn Johnson Gindlesparger,29
College English,1/1/2018,Charlotte Hogg,27
College English,1/1/2018,Chris Mays,27
College English,1/1/2018,Erica Frisicaro-Pawlowski,23
College English,1/1/2018,Jason Palmeri,11
College English,1/1/2018,Aja Y. Martinez,9
College English,1/1/2018,Kelly Blewett,5
College English,1/1/2019,Kara Poe Alexander,99
College English,1/1/2019,David Fleming,87
College English,1/1/2019,Laura R. Micciche,72
College English,1/1/2019,Elisa Findlay,55
College English,1/1/2019,Jim Nugent,49
College English,1/1/2019,Calley Marotta,45
College English,1/1/2019,Jeff Sommers,45
College English,1/1/2019,Douglas Hesse,44
College English,1/1/2019,Dylan B. Dryer,41
College English,1/1/2019,Carolyn Skinner,32
College English,1/1/2019,Elizabeth A. Novara,27
College English,1/1/2019,Neal Lerner,18
College English,1/1/2019,Michelle F. Eble,7
College English,1/1/2019,Kelly Blewett,4
College English,1/1/2019,Jennifer Wells,1
Community Literacy Journal,1/1/2013,Audrey Barick,40
Community Literacy Journal,1/1/2013,Kendall Leon,30
Community Literacy Journal,1/1/2013,Anna Plemons,29
Community Literacy Journal,1/1/2013,Adela C. Licona,27
Community Literacy Journal,1/1/2013,Ryan Roderick,21
Community Literacy Journal,1/1/2013,Timothy B. Tasker,18
Community Literacy Journal,1/1/2013,Kristen H. Perry,16
Community Literacy Journal,1/1/2013,Michael McDonald,16
Community Literacy Journal,1/1/2013,Vanessa Mercado,14
Community Literacy Journal,1/1/2013,Rhonda Davis,13
Community Literacy Journal,1/1/2013,Mark B. Padilla,10
Community Literacy Journal,1/1/2013,Leah Durán,5
Community Literacy Journal,1/1/2013,Brian Hendrickson,4
Community Literacy Journal,1/1/2013,Londie T. Martin,4
Community Literacy Journal,1/1/2014,Kristen H. Perry,42
Community Literacy Journal,1/1/2014,Veronica House,37
Community Literacy Journal,1/1/2014,Christina Matthiesen,34
Community Literacy Journal,1/1/2014,Joel Beatty,31
Community Literacy Journal,1/1/2014,Sandra Elaine Jones,29
Community Literacy Journal,1/1/2014,Veronica Oliver,29
Community Literacy Journal,1/1/2014,Rachael Wendler,25
Community Literacy Journal,1/1/2014,Emily Cooney,21
Community Literacy Journal,1/1/2014,Jennifer deWinter,19
Community Literacy Journal,1/1/2014,David Coogan,17
Community Literacy Journal,1/1/2014,Jaclyn M. Wells,15
Community Literacy Journal,1/1/2014,William Carney,9
Community Literacy Journal,1/1/2014,Kelly A. Concannon Mannise,7
Community Literacy Journal,1/1/2014,Charlotte Bammer,2
Community Literacy Journal,1/1/2014,Adriana Briseño-Garzón,1
Community Literacy Journal,1/1/2015,Consuelo Salas,40
Community Literacy Journal,1/1/2015,Ashley J. Holmes,32
Community Literacy Journal,1/1/2015,Stephanie Wade,29
Community Literacy Journal,1/1/2015,Elizabeth Kimball,22
Community Literacy Journal,1/1/2015,Janine Morris,21
Community Literacy Journal,1/1/2015,Lisa Mastrangelo,19
Community Literacy Journal,1/1/2015,Laurie Grobman,17
Community Literacy Journal,1/1/2015,Lauren Davis,16
Community Literacy Journal,1/1/2015,Amanda Fields,12
Community Literacy Journal,1/1/2015,Marcy L. Galbreath,12
Community Literacy Journal,1/1/2015,Amy E. Dayton,11
Community Literacy Journal,1/1/2015,Erin Trauth,9
Community Literacy Journal,1/1/2015,Chris Meagher,7
Community Literacy Journal,1/1/2015,Jessica E. Slentz,3
Community Literacy Journal,1/1/2015,Angela Clark-Oates,1
Community Literacy Journal,1/1/2015,Brad Jacobson,1
Community Literacy Journal,1/1/2016,Ben Kuebrich,33
Community Literacy Journal,1/1/2016,Rosanne Carlo,29
Community Literacy Journal,1/1/2016,Abby M. Dubisar,24
Community Literacy Journal,1/1/2016,Jordan Loveridge,23
Community Literacy Journal,1/1/2016,Seán McCarthy,20
Community Literacy Journal,1/1/2016,Nichole Lariscy,19
Community Literacy Journal,1/1/2016,Tobi Jacobi,19
Community Literacy Journal,1/1/2016,Deborah Mutnick,17
Community Literacy Journal,1/1/2016,Phyllis Mentzell Ryder,17
Community Literacy Journal,1/1/2016,Allison S. Walker,10
Community Literacy Journal,1/1/2016,Catherine Savini,10
Community Literacy Journal,1/1/2016,Jeremy Cornelius,10
Community Literacy Journal,1/1/2016,Megan Faver Hartline,8
Community Literacy Journal,1/1/2016,Elizabeth Parfitt,7
Community Literacy Journal,1/1/2016,Veronica House,7
